function,optimiser,converged,iterations,final_value,runtime_ms,config
rosenbrock,cSGD_offdiag_0_l,True,236,7.731920280612624e-10,192.49844551086426,"{'learning_rate': 0.01327897094837395, 'momentum': 0.9584372378203831, 'xi': 0.45597422466942006, 'gamma': 0.18950629064069635, 'weight_decay': 0.00969540685105872, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,cSGD_fixed,True,60,2.9233641982331992e-08,38.24353218078613,"{'learning_rate': 0.044769501588769585, 'momentum': 0.9323753727346962, 'xi': 0.34497154744062947, 'beta': 0.0}"
rosenbrock,Adam,True,123,4.918709128169113e-08,76.74288749694824,"{'learning_rate': 0.041844882373493965, 'b1': 0.9352075628271608, 'b2': 0.9201775104443538, 'eps': 2.8787261031696594e-09}"
rosenbrock,cSGD_offdiag_0_m,True,326,3.901089833055459e-08,251.4517307281494,"{'learning_rate': 0.003447823907356409, 'momentum': 0.9691931555482184, 'xi': 0.21956531506086424, 'gamma': 0.03979809502519001, 'weight_decay': 0.0027327772620785065, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,cSGD_fixed_rms,True,347,8.622291831598733e-08,59.83614921569824,"{'learning_rate': 0.015170647856911267, 'momentum': 0.9135309890958684, 'xi': 0.006032986116238973, 'beta': 0.0, 'beta_rms': 0.9757414410087056, 'eps': 3.2971292813447817e-07}"
rosenbrock,cSGD_learn_diag_log,False,1000,0.000740528080640231,121.30069732666016,"{'learning_rate': 0.02220751542058302, 'momentum': 0.34885119714355783, 'xi': 2.3216150601454997, 'beta': 0.7309307120251006, 'metric_lr': 0.7861848852749056, 'metric_reg': 0.0003440080086000592, 'metric_clip': 1.505058966258011}"
rosenbrock,cSGD_offdiag_m_theta,True,222,2.791977083560902e-08,143.70226860046387,"{'learning_rate': 0.10390511489833709, 'momentum': 0.9707862025667394, 'xi': 1.053885847204128, 'gamma': 1.9956471883007467, 'weight_decay': 0.0035963674317900252, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,cSGD_offdiag_theta_m,True,86,4.854235622985197e-08,61.684608459472656,"{'learning_rate': 0.00045055001186266935, 'momentum': 0.9656579303592482, 'xi': 0.0007904620035925559, 'gamma': 0.01672079719134275, 'weight_decay': 0.008150575869902265, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
himmelblau,cSGD_offdiag_theta_0,True,38,2.0068113197774982e-07,27.973175048828125,"{'learning_rate': 0.02899141493164454, 'momentum': 0.5361748704905417, 'xi': 0.0012630799426872979, 'gamma': 0.581976394847209, 'weight_decay': 0.0030346098463320116, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
himmelblau,cSGD_offdiag_m_l,True,39,3.1810924067282673e-07,27.270793914794922,"{'learning_rate': 0.009321710011550821, 'momentum': 0.548665634595323, 'xi': 0.00010901375889660513, 'gamma': 0.11908673319425209, 'weight_decay': 0.0019180383826119885, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
