optimizer,run_name,learning_rate,beta1,beta2,eps,batch_size,n_epochs,total_training_time_sec,total_training_time_min,seed,final_max_val_acc,final_max_acc_epoch,sweep_metric,pruned,architecture,val_time_seconds,weight_decay,momentum,adam_b1,adam_b2,beta,xi,beta_rms,metric_lr,metric_reg,metric_clip,gamma,base_mode,use_momentum_for_update
sgd_learn_diag_log,run_488,0.8118695947758804,,,,1024,200,3.9002697467803955,0.06500449577967325,890080,0.9836000204086304,164,-0.9836000204086304,False,MLP,0.3024942874908447,0.0007331806643365974,0.4791803667843101,,,0.6511494579298471,0.11386277663017959,,0.0004227231005619252,1.4357461387156217e-06,2.087994421377424,,,
sgd_offdiag_0_l,run_79,0.014773084578798668,,,,1024,200,3.830658435821533,0.06384430726369222,202601,0.9826000332832336,102,-0.9826000332832336,False,MLP,0.29997944831848145,0.04442687043049461,0.46686042666465677,,,,0.04439802552990466,,,,,0.005550617910625244,momentum,False
sgd_offdiag_0_m,run_621,0.03073284213133534,,,,1024,200,3.8154733180999756,0.06359122196833293,652252,0.9826000332832336,134,-0.9826000332832336,False,MLP,0.3073258399963379,0.07291907959793237,0.3085363874881024,,,,0.12626211440143378,,,,,0.00021393238807155285,momentum,False
sgd_offdiag_0_theta,run_794,0.1891019428503924,,,,1024,200,3.9411120414733887,0.06568520069122315,302167,0.9810000658035278,110,-0.9810000658035278,False,MLP,0.31105971336364746,0.007077307915151609,0.2168685813292845,,,,0.05917794863365416,,,,,0.12276257035565873,momentum,True
sgd_offdiag_l_0,run_179,0.03598666353161435,,,,1024,200,3.760122060775757,0.06266870101292928,705716,0.9830000400543213,139,-0.9830000400543213,False,MLP,0.31327319145202637,0.0022255367800535233,0.5276282086858219,,,,0.019830561549555963,,,,,0.004623912054055241,grad,False
sgd_offdiag_l_l,run_687,6.177577534642779,,,,1024,200,4.070335149765015,0.06783891916275024,673881,0.9837000370025635,191,-0.9837000370025635,False,MLP,0.2993893623352051,3.062461017596409e-05,0.021761996661526683,,,,1.624761506637931,,,,,0.8713161179815314,momentum,True
sgd_offdiag_l_m,run_687,6.177577534642779,,,,1024,200,4.047020673751831,0.06745034456253052,368836,0.9827000498771667,180,-0.9827000498771667,False,MLP,0.29977965354919434,3.062461017596409e-05,0.021761996661526683,,,,1.624761506637931,,,,,0.8713161179815314,momentum,True
sgd_offdiag_l_theta,run_638,0.6710228232442494,,,,1024,200,4.095095157623291,0.06825158596038819,525498,0.9819000363349915,141,-0.9819000363349915,False,MLP,0.30237579345703125,0.00235216546078367,0.9817080995316159,,,,0.004512994627905803,,,,,0.2876657755818124,momentum,True
sgd_offdiag_m_0,run_621,0.03073284213133534,,,,1024,200,3.792613983154297,0.06321023305257162,608683,0.9818000197410583,131,-0.9818000197410583,False,MLP,0.3091278076171875,0.07291907959793237,0.3085363874881024,,,,0.12626211440143378,,,,,0.00021393238807155285,momentum,False
sgd_offdiag_m_l,run_735,0.1257353910796017,,,,1024,200,3.9404358863830566,0.06567393143971761,570151,0.9827000498771667,188,-0.9827000498771667,False,MLP,0.30096006393432617,0.004239755792993501,0.19767304066024022,,,,0.03055509807329591,,,,,0.03224748356082511,momentum,False
sgd_offdiag_m_m,run_687,6.177577534642779,,,,1024,200,3.9565372467041016,0.06594228744506836,942390,0.9826000332832336,190,-0.9826000332832336,False,MLP,0.3096885681152344,3.062461017596409e-05,0.021761996661526683,,,,1.624761506637931,,,,,0.8713161179815314,momentum,True
sgd_offdiag_m_theta,run_712,0.0038425545084755422,,,,1024,200,4.267112731933594,0.07111854553222656,82325,0.9816000461578369,162,-0.9816000461578369,False,MLP,0.3059062957763672,0.019180500847264744,0.9312832858459994,,,,0.0015528355273533372,,,,,0.005769721828827139,grad,True
sgd_offdiag_theta_0,run_638,0.6710228232442494,,,,1024,200,3.8574576377868652,0.06429096062978108,27883,0.9801000356674194,125,-0.9801000356674194,False,MLP,0.30527186393737793,0.00235216546078367,0.9817080995316159,,,,0.004512994627905803,,,,,0.2876657755818124,momentum,True
sgd_offdiag_theta_l,run_517,0.8783874855207069,,,,1024,200,4.14818263053894,0.06913637717564901,476359,0.9805000424385071,188,-0.9805000424385071,False,MLP,0.30494046211242676,0.000555326192913086,0.37956316964767634,,,,0.004711013557117899,,,,,1.521286328440709,momentum,False
sgd_offdiag_theta_m,run_638,0.6710228232442494,,,,1024,200,4.007731676101685,0.06679552793502808,288351,0.980400025844574,160,-0.980400025844574,False,MLP,0.29546189308166504,0.00235216546078367,0.9817080995316159,,,,0.004512994627905803,,,,,0.2876657755818124,momentum,True
sgd_offdiag_theta_theta,run_638,0.6710228232442494,,,,1024,200,4.062932014465332,0.0677155335744222,714009,0.9816000461578369,97,-0.9816000461578369,False,MLP,0.3111846446990967,0.00235216546078367,0.9817080995316159,,,,0.004512994627905803,,,,,0.2876657755818124,momentum,True
