function,optimiser,converged,iterations,final_value,runtime_ms,config
ackley,Muon,False,1000,0.6206941760272393,663.2497310638428,"{'learning_rate': 4.4124974133681105, 'adam_b1': 0.9760821505598604, 'adam_b2': 0.8469751048059536, 'eps': 4.7730521484042015e-08, 'beta': 0.919974234291512}"
ackley,cSGD_offdiag_theta_l,False,1000,0.009126850008538412,618.7849044799805,"{'learning_rate': 0.3321974479309275, 'momentum': 0.3699437356673194, 'xi': 0.4621616466804895, 'gamma': 0.00012055770161890045, 'weight_decay': 0.00014812133433391052, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_m_theta,False,1000,0.009726667829124125,628.3969879150391,"{'learning_rate': 0.13310675610476988, 'momentum': 0.4119753312222827, 'xi': 2.7813733469250796, 'gamma': 0.005718622625822137, 'weight_decay': 0.006338453578669174, 'base_mode': 'grad', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_m_l,False,1000,0.08424707860731928,628.1304359436035,"{'learning_rate': 0.024964804172798127, 'momentum': 0.1617625815965694, 'xi': 0.037416987792250146, 'gamma': 0.002433057462571237, 'weight_decay': 0.005604368428480124, 'base_mode': 'grad', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_theta_theta,False,1000,0.02096009002431387,733.5739135742188,"{'learning_rate': 0.032726439457141, 'momentum': 0.8767520182372088, 'xi': 0.062080992904331334, 'gamma': 0.27416534237427154, 'weight_decay': 0.006599469915212415, 'base_mode': 'grad', 'use_momentum_for_update': True}"
ackley,cSGD_learn_scalar_log,False,1000,3.580475512122103,97.61786460876465,"{'learning_rate': 2.2998435978579885, 'momentum': 0.40691415665873876, 'xi': 2.5110277553785534, 'beta': 0.6221259068191202, 'metric_lr': 0.0003679948792715112, 'metric_reg': 1.7254150770995077e-06, 'metric_clip': 2.0310707687422958}"
ackley,cSGD_offdiag_l_m,False,1000,0.12781889431329319,632.2991847991943,"{'learning_rate': 0.012093022827234375, 'momentum': 0.5530916918983428, 'xi': 0.051437949261049686, 'gamma': 0.0004135286562920237, 'weight_decay': 0.004401807743503571, 'base_mode': 'grad', 'use_momentum_for_update': False}"
ackley,cSGD_learn_diag_log,False,1000,6.559645375627877,98.74916076660156,"{'learning_rate': 0.028456121648884357, 'momentum': 0.6955611859864649, 'xi': 3.948113093933725, 'beta': 0.6099187201709355, 'metric_lr': 0.010497826733452103, 'metric_reg': 5.4078701459383e-05, 'metric_clip': 2.531086622176116}"
ackley,SGD,False,1000,5.461956388198583,67.34180450439453,"{'learning_rate': 0.09317482464727157, 'momentum': 0.7098570232559}"
ackley,cSGD_learn_diag,False,1000,0.007814506148026368,98.33574295043945,"{'learning_rate': 0.4586388322248347, 'momentum': 0.8150040748189625, 'xi': 0.15938771000815283, 'beta': 0.5867890918925613, 'metric_lr': 5.510154308593669e-05, 'metric_reg': 0.0001976685977878406, 'metric_clip': 2.4660574147427057}"
ackley,cSGD_offdiag_0_l,False,1000,0.00952007252217868,679.5918941497803,"{'learning_rate': 0.10757749529936904, 'momentum': 0.37060837186842316, 'xi': 1.2597632934456628, 'gamma': 0.00013469001727782218, 'weight_decay': 0.0010274591053942106, 'base_mode': 'grad', 'use_momentum_for_update': True}"
ackley,cSGD_offdiag_l_theta,False,1000,0.008025590510634117,642.3311233520508,"{'learning_rate': 0.07899318016104909, 'momentum': 0.02933748104432635, 'xi': 0.2838914825105862, 'gamma': 0.019314765093517015, 'weight_decay': 0.006890075108450791, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_l_0,False,1000,0.00603863419907924,693.3581829071045,"{'learning_rate': 0.05777975713175677, 'momentum': 0.2292445796248737, 'xi': 0.05631265256439135, 'gamma': 0.008539057402575417, 'weight_decay': 0.009615792611591886, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_0_m,False,1000,0.0014438451461238344,679.6951293945312,"{'learning_rate': 0.20063985466956757, 'momentum': 0.007000306174623959, 'xi': 0.03043225257959233, 'gamma': 0.4867067373322541, 'weight_decay': 0.007828270199584491, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
ackley,cSGD_offdiag_0_theta,False,1000,0.04574566532022928,679.419755935669,"{'learning_rate': 0.05176679891433884, 'momentum': 0.8209393758222525, 'xi': 2.364606699809375, 'gamma': 0.33289672438789863, 'weight_decay': 0.00687498086697512, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
ackley,cSGD_offdiag_m_m,False,1000,0.5447220220277202,635.6997489929199,"{'learning_rate': 0.07180548440127246, 'momentum': 0.5698745811908001, 'xi': 0.5076203042804122, 'gamma': 0.0002075787050191883, 'weight_decay': 0.009646975604442038, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
ackley,cSGD_offdiag_theta_m,False,1000,0.026773054439615862,679.7146797180176,"{'learning_rate': 0.009514375077969619, 'momentum': 0.769812014439405, 'xi': 0.37637083612219946, 'gamma': 0.05002846523913869, 'weight_decay': 0.003833835107273551, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_m_0,False,1000,0.18011390755258105,738.4727001190186,"{'learning_rate': 0.11935784443984213, 'momentum': 0.2996956952212915, 'xi': 0.5344659652211622, 'gamma': 0.005212891507202732, 'weight_decay': 0.00902838478426696, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_theta_0,False,1000,0.01120548382587927,882.1005821228027,"{'learning_rate': 0.06621927548068873, 'momentum': 0.03708170472613384, 'xi': 0.08476794121700494, 'gamma': 0.0001036311178632891, 'weight_decay': 0.0026517836728919063, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
ackley,cSGD_learn_scalar,False,1000,0.1702285328085047,95.15595436096191,"{'learning_rate': 3.6206175568642496, 'momentum': 0.5569049945808181, 'xi': 2.352722445593671, 'beta': 0.8727569880572343, 'metric_lr': 0.020222346444088997, 'metric_reg': 9.717509932589293e-05, 'metric_clip': 1.00869513512635}"
ackley,cSGD_fixed_rms,False,1000,0.011577105703491242,98.15645217895508,"{'learning_rate': 0.8973852644653459, 'momentum': 0.40516965987277015, 'xi': 8.309239747192986, 'beta': 0.0, 'beta_rms': 0.8431927393614073, 'eps': 4.642983370411854e-09}"
ackley,cSGD_fixed,False,1000,0.09666391178413036,84.36775207519531,"{'learning_rate': 0.5579947363427896, 'momentum': 0.16135029528672917, 'xi': 1.321093234871423, 'beta': 0.0}"
ackley,cSGD_offdiag_l_l,False,1000,0.08775354599623242,629.643440246582,"{'learning_rate': 0.21128217141376296, 'momentum': 0.10617943725523639, 'xi': 0.3225783157333308, 'gamma': 0.00012592627110674797, 'weight_decay': 0.00027759069220698485, 'base_mode': 'grad', 'use_momentum_for_update': True}"
ackley,Adam,False,1000,1.1782027619306383,357.04708099365234,"{'learning_rate': 0.5485619556920465, 'b1': 0.688029169019277, 'b2': 0.8048791949006624, 'eps': 3.380760212593241e-10}"
rastrigin,Muon,False,1000,7.959662381108174,658.2069396972656,"{'learning_rate': 0.015775718291826803, 'adam_b1': 0.7910403089336128, 'adam_b2': 0.9951767052585481, 'eps': 2.7634633151665827e-07, 'beta': 0.7783941402505025}"
rastrigin,cSGD_offdiag_theta_l,False,1000,7.959662381108188,650.989294052124,"{'learning_rate': 6.456598760496371e-06, 'momentum': 0.5211866049297254, 'xi': 0.00024309673878812694, 'gamma': 0.0006053940242927087, 'weight_decay': 0.001744938579063633, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rastrigin,cSGD_offdiag_m_theta,False,1000,7.959662381108232,923.0036735534668,"{'learning_rate': 1.6893059083364547e-06, 'momentum': 0.5509829774351228, 'xi': 0.0010963803747134067, 'gamma': 0.0014984084484191966, 'weight_decay': 0.0016084173491807863, 'base_mode': 'grad', 'use_momentum_for_update': True}"
rastrigin,cSGD_offdiag_m_l,False,1000,7.959662381746703,738.5656833648682,"{'learning_rate': 2.172913685331376e-06, 'momentum': 0.3122661078808752, 'xi': 0.0004242314976235474, 'gamma': 0.027850978719800492, 'weight_decay': 0.009073167199795434, 'base_mode': 'grad', 'use_momentum_for_update': True}"
rastrigin,cSGD_offdiag_theta_theta,False,1000,1.9779323530272812,665.6935214996338,"{'learning_rate': 0.005937264062829712, 'momentum': 0.2268182883580827, 'xi': 0.8547534191554012, 'gamma': 1.0586818010699215, 'weight_decay': 0.004829418678765178, 'base_mode': 'grad', 'use_momentum_for_update': True}"
rastrigin,cSGD_learn_scalar_log,True,30,3.950342133407503e-07,45.859336853027344,"{'learning_rate': 5.223932202666259, 'momentum': 0.7613749975185149, 'xi': 0.7479205192318285, 'beta': 0.7408662188416952, 'metric_lr': 0.0016477475375111866, 'metric_reg': 0.00012770054480169281, 'metric_clip': 2.174532251707813}"
rastrigin,cSGD_offdiag_l_m,False,1000,7.959662381127661,692.4114227294922,"{'learning_rate': 4.148407331408567e-06, 'momentum': 0.7573865953535913, 'xi': 0.0011725244007677236, 'gamma': 0.04607515427893131, 'weight_decay': 0.0009580151660057068, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
rastrigin,cSGD_learn_diag_log,False,1000,7.959662381108174,106.9793701171875,"{'learning_rate': 0.05605845391713401, 'momentum': 0.8569827294126054, 'xi': 3.1282234972279337, 'beta': 0.9217524806959952, 'metric_lr': 5.832363419337621e-05, 'metric_reg': 1.0098957263649337e-05, 'metric_clip': 3.0093012197102884}"
rastrigin,SGD,False,1000,7.959662381108174,68.10998916625977,"{'learning_rate': 0.0020326083124136574, 'momentum': 0.8898524980488118}"
rastrigin,cSGD_learn_diag,False,1000,4.818659921807927,98.75059127807617,"{'learning_rate': 0.2732675704796127, 'momentum': 0.8295278824388944, 'xi': 0.003657272097164436, 'beta': 0.6542583103127445, 'metric_lr': 0.0013317576172544618, 'metric_reg': 0.0022563573872501955, 'metric_clip': 4.5715466908586215}"
rastrigin,cSGD_offdiag_0_l,True,219,3.1409042833274725e-07,156.1756134033203,"{'learning_rate': 0.0029899816428323985, 'momentum': 0.9667681259215221, 'xi': 0.00020931136392336258, 'gamma': 0.00022401776692826687, 'weight_decay': 0.005951165649466782, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
rastrigin,cSGD_offdiag_l_theta,False,1000,7.959662381108259,633.3112716674805,"{'learning_rate': 1.0509203163570123e-06, 'momentum': 0.21199925430678926, 'xi': 0.000302937275062514, 'gamma': 0.00030583593158108475, 'weight_decay': 0.009457774131399048, 'base_mode': 'grad', 'use_momentum_for_update': False}"
rastrigin,cSGD_offdiag_l_0,False,1000,7.959662381109056,712.2924327850342,"{'learning_rate': 2.965618875659804e-06, 'momentum': 0.6899473798483649, 'xi': 0.003274027206995107, 'gamma': 0.0012783626199518875, 'weight_decay': 0.007349374151493361, 'base_mode': 'grad', 'use_momentum_for_update': True}"
rastrigin,cSGD_offdiag_0_m,False,1000,7.959662381108175,782.1881771087646,"{'learning_rate': 1.2424330825990123e-06, 'momentum': 0.43192308536221835, 'xi': 0.0027808671533451697, 'gamma': 0.003954484928590675, 'weight_decay': 3.8990431140297764e-05, 'base_mode': 'grad', 'use_momentum_for_update': False}"
rastrigin,cSGD_offdiag_0_theta,False,1000,7.959662381118279,692.277193069458,"{'learning_rate': 6.31905392184921e-05, 'momentum': 0.8326192763808158, 'xi': 0.2071536421806453, 'gamma': 0.0174583472350206, 'weight_decay': 0.0018260143183386536, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rastrigin,cSGD_offdiag_m_m,False,1000,2.23552250004148,626.868486404419,"{'learning_rate': 0.0019846084220603104, 'momentum': 0.2744919564157347, 'xi': 0.003540382991361042, 'gamma': 0.004896264064944021, 'weight_decay': 0.00225281990641373, 'base_mode': 'grad', 'use_momentum_for_update': False}"
rastrigin,cSGD_offdiag_theta_m,False,1000,7.959662381110129,648.3316421508789,"{'learning_rate': 7.758617995343963e-06, 'momentum': 0.89964356329617, 'xi': 0.000927025520492042, 'gamma': 0.003956011164390442, 'weight_decay': 0.003534079797309434, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rastrigin,cSGD_offdiag_m_0,False,1000,2.4446738608983587,677.8841018676758,"{'learning_rate': 2.7659403708822743, 'momentum': 0.07824400194716176, 'xi': 0.05722767124127549, 'gamma': 0.033204454455811626, 'weight_decay': 0.0005733476022251039, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rastrigin,cSGD_offdiag_theta_0,False,1000,7.959662381108924,674.1776466369629,"{'learning_rate': 7.002284306051757e-06, 'momentum': 0.5152284027282317, 'xi': 0.00029908626002474176, 'gamma': 0.0019133139850425625, 'weight_decay': 0.00451708717619993, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rastrigin,cSGD_learn_scalar,False,1000,3.976226268690098,99.08890724182129,"{'learning_rate': 2.0950602479925338, 'momentum': 0.05024476821224301, 'xi': 0.24495723126192942, 'beta': 0.7960724041132647, 'metric_lr': 2.1386003698634364e-05, 'metric_reg': 0.0008516415848741454, 'metric_clip': 2.875590178048784}"
rastrigin,cSGD_fixed_rms,False,1000,7.959662381108174,100.71682929992676,"{'learning_rate': 3.0975287280306634e-05, 'momentum': 0.26890063108722206, 'xi': 0.2995840846940894, 'beta': 0.0, 'beta_rms': 0.9489946047119298, 'eps': 1.0179693438457936e-07}"
rastrigin,cSGD_fixed,False,1000,7.959662381108174,104.6590805053711,"{'learning_rate': 0.0008031762084565834, 'momentum': 0.11748444265048451, 'xi': 0.013266809103136237, 'beta': 0.0}"
rastrigin,cSGD_offdiag_l_l,False,1000,7.959662381108536,657.5989723205566,"{'learning_rate': 2.7150412143805025e-06, 'momentum': 0.017335376600758883, 'xi': 0.0011645438102755856, 'gamma': 0.013330227338889136, 'weight_decay': 0.0004490502862726731, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rastrigin,Adam,True,301,4.233717412205351e-07,86.56835556030273,"{'learning_rate': 2.443845367102244, 'b1': 0.44121105364197216, 'b2': 0.8273419344066889, 'eps': 8.158854970133769e-08}"
